Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
testData,,,,2019-09-27 14:02:48,2019-09-27 14:02:51,3.044s,PASSED
,,,,,,,
Test Cases/TestEmployee/Verify that created account successful,,,,2019-09-27 14:02:48,2019-09-27 14:02:50,1.800s,PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,,2019-09-27 14:02:48,2019-09-27 14:02:48,0.004s,PASSED
"response = sendRequest(findTestObject(""EmployeeObjects/Add Employee"", [""UserName"":Name, ""Salary"":Salary, ""Age"":Age]))",,,,2019-09-27 14:02:48,2019-09-27 14:02:50,1.594s,PASSED
println(Name),,,,2019-09-27 14:02:50,2019-09-27 14:02:50,0.002s,PASSED
println(Salary),,,,2019-09-27 14:02:50,2019-09-27 14:02:50,0.001s,PASSED
println(Age),,,,2019-09-27 14:02:50,2019-09-27 14:02:50,0.001s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-09-27 14:02:50,2019-09-27 14:02:50,0.009s,PASSED
"verifyElementPropertyValue(response, ""status_message"", ""Employee added successfully!"")",,,,2019-09-27 14:02:50,2019-09-27 14:02:50,0.025s,PASSED
,,,,,,,
Test Cases/TestEmployee/Verify that created account successful,,,,2019-09-27 14:02:50,2019-09-27 14:02:51,1.054s,PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,,2019-09-27 14:02:50,2019-09-27 14:02:50,0.000s,PASSED
"response = sendRequest(findTestObject(""EmployeeObjects/Add Employee"", [""UserName"":Name, ""Salary"":Salary, ""Age"":Age]))",,,,2019-09-27 14:02:50,2019-09-27 14:02:51,1.032s,PASSED
println(Name),,,,2019-09-27 14:02:51,2019-09-27 14:02:51,0.001s,PASSED
println(Salary),,,,2019-09-27 14:02:51,2019-09-27 14:02:51,0.000s,PASSED
println(Age),,,,2019-09-27 14:02:51,2019-09-27 14:02:51,0.001s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-09-27 14:02:51,2019-09-27 14:02:51,0.002s,PASSED
"verifyElementPropertyValue(response, ""status_message"", ""Employee added successfully!"")",,,,2019-09-27 14:02:51,2019-09-27 14:02:51,0.011s,PASSED
