Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
testData,,,,2019-09-27 13:37:58,2019-09-27 13:37:59,0.451s,ERROR
,,,,,,,
Test Cases/TestEmployee/Verify that created account successful,,,,2019-09-27 13:37:58,2019-09-27 13:37:59,0.225s,ERROR
"verifyResponseStatusCode(response, 200)",,,,2019-09-27 13:37:58,2019-09-27 13:37:58,0.005s,PASSED
,,,,,,,
Test Cases/TestEmployee/Verify that created account successful,,,,2019-09-27 13:37:59,2019-09-27 13:37:59,0.010s,ERROR
"verifyResponseStatusCode(response, 200)",,,,2019-09-27 13:37:59,2019-09-27 13:37:59,0.000s,PASSED
