Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
testData,,,,2019-09-27 13:58:33,2019-09-27 13:58:36,3.263s,ERROR
,,,,,,,
Test Cases/TestEmployee/Verify that created account successful,,,,2019-09-27 13:58:33,2019-09-27 13:58:35,1.862s,ERROR
jsonSlurper = new groovy.json.JsonSlurper(),,,,2019-09-27 13:58:33,2019-09-27 13:58:33,0.005s,PASSED
"create_issue = sendRequest(findTestObject(""EmployeeObjects/Add Employee"", [""Name"":Name, ""Salary"":Salary, ""Age"":Age]))",,,,2019-09-27 13:58:33,2019-09-27 13:58:35,1.665s,PASSED
println(Name),,,,2019-09-27 13:58:35,2019-09-27 13:58:35,0.003s,PASSED
println(Salary),,,,2019-09-27 13:58:35,2019-09-27 13:58:35,0.000s,PASSED
println(Age),,,,2019-09-27 13:58:35,2019-09-27 13:58:35,0.000s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-09-27 13:58:35,2019-09-27 13:58:35,0.001s,PASSED
,,,,,,,
Test Cases/TestEmployee/Verify that created account successful,,,,2019-09-27 13:58:35,2019-09-27 13:58:36,1.165s,ERROR
jsonSlurper = new groovy.json.JsonSlurper(),,,,2019-09-27 13:58:35,2019-09-27 13:58:35,0.000s,PASSED
"create_issue = sendRequest(findTestObject(""EmployeeObjects/Add Employee"", [""Name"":Name, ""Salary"":Salary, ""Age"":Age]))",,,,2019-09-27 13:58:35,2019-09-27 13:58:36,1.154s,PASSED
println(Name),,,,2019-09-27 13:58:36,2019-09-27 13:58:36,0.000s,PASSED
println(Salary),,,,2019-09-27 13:58:36,2019-09-27 13:58:36,0.001s,PASSED
println(Age),,,,2019-09-27 13:58:36,2019-09-27 13:58:36,0.000s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-09-27 13:58:36,2019-09-27 13:58:36,0.000s,PASSED
